舰娘当前计分：
凯旋:1
马拉尼:3
文森斯:0
爱宕:4
莱比锡:9
神通:3
齐柏林伯爵:3
克利夫兰:28
沙恩霍斯特:0
埃克塞特:1
U47:0
============================================
楼层	用户id	评论内容
462	41591217	U47 神通
463	41244182	如果神通我推了你你能到我的船坞里来么<br/>爱宕 克爹 神通！！！
464	42592332	神通 克利夫兰 U47
465	42260107	爱宕 神通 克利夫兰
466	42997671	莱比锡 齐柏林 u47
467	41048411	爱宕 神通 u47
468	39854486	克利夫兰[s:ac:blink]
469	41531851	爱宕 克利夫兰 u47
470	35161004	凯旋 克爹 沙恩霍斯特
471	42963620	凯旋，马拉尼，u47[s:ac:上]
472	41570409	神通<br/>莱比锡<br/>克爹
473	60237170	爱宕<br/>神通<br/>克爹
474	8375657	凯旋、克爹、U47
475	42683153	莱比锡，克利夫兰，u47
476	12015217	神通 爱宕 克利夫兰
477	43093425	克爹，莱比斯，文森斯
478	13101915	克爹 780 鱼鱼
479	41659919	克利夫兰。
480	41093322	爱宕 齐柏林伯爵
481	19152917	爱宕，齐柏林
482	43292814	爱宕，神通，克爹
483	40877471	爱宕.神通.马尼拉
484	42037906	爱宕 克利夫兰 U47
485	41520525	神通<br/>克利夫兰
486	6223432	780，神通，马拉尼
487	60023126	克利夫兰  莱比锡
488	19538174	马拉尼，神通，爱宕
489	2023285	莱比锡 凯旋 神通
490	43159657	莱比锡 克利夫兰 神通
491	39665081	爱宕，神通，克利夫兰
492	41618312	克爹 780
493	42583117	克利夫兰zsbd
494	42769172	大狗 780 爹
495	2122965	凯旋  U47 沙恩霍斯特
496	40871055	克爹，神通[s:ac:上]
497	5130102	爱宕<br/>神通<br/>克利夫兰
498	26762314	爱宕 神通 齐柏林
499	42585185	神通<br/>克利夫兰<br/>齐柏林
500	23968303	莱比锡 克利夫兰 神通
501	17997553	爱宕，马拉尼，神通
502	14512	爱宕 爱宕 爱宕，我就是看过几次爱大狗的那啥才入坑的
503	41565375	爹[s:ac:茶]
504	23405576	爱宕 马拉尼 U47
505	41732873	爱宕 齐柏林 神通
506	43152181	神通 凯旋 克利夫兰
507	41382962	克利夫兰 凯旋
508	42727314	莱比锡，神通，U47
509	2242146	爱宕zsbd
510	43076015	克利夫兰 马拉尼
511	43347914	五十铃<br/>神通<br/>克爹
512	9566366	U47 爱宕 克利夫兰
513	133756	u47,文森斯
514	42253562	克利夫兰。
515	60163714	齐柏林，神通，克利夫兰
516	998143	爱宕 齐柏林 U47
517	41593189	凯旋，莱比锡，克利夫兰
518	42712521	克爹，爱宕！
519	43057132	凯旋 鱼鱼 克爹
521	41487805	爱宕，神通，埃克塞特
522	42762410	爱宕 克利夫兰
523	42767631	爱宕 齐柏林 神通
524	42390731	克爹[s:ac:闪光]
526	41648096	马拉尼<br/>神通<br/>U47
527	42900686	神通，齐柏林，文森斯
528	42144766	爱宕，神通<br/><br/>就这两个吧
529	37589796	齐柏林，莱比锡，U-47！！！！
530	42601110	爱宕 克利夫兰 神通
531	41394123	凯旋 神通 克利夫兰
532	34340191	爱宕 克爹
533	42904476	克利夫兰 凯旋 U47
534	33346201	齐柏林伯爵，爱宕，神通
535	35073621	780 神通 爹
536	42491010	U47!!!
537	43032439	u47，神通，克利夫兰
538	42642156	克利夫兰zsbd
539	42133797	爱宕 780 莱比锡
540	39355572	爱宕zsbd
541	39618305	爱宕、马拉尼、文森斯
542	928924	u47 神通 克利夫兰
543	43034356	克利夫兰！神通！爱宕！
544	40718067	克爹 神通
545	37393313	克利夫兰 爱宕 神通
546	40515067	爱宕 神通 u47
547	41715852	爱宕 齐柏林 克利夫兰
548	34268622	克利夫兰，我滴老父亲，我最疼爱滴人<br/>凯旋<br/>莱比锡
549	40782113	爱宕，神通，克利夫兰
550	42291756	克利夫兰，U47，凯旋
551	60111738	马拉尼，大狗，莱比锡
552	43016191	克爹 爱宕  神通
553	38701065	文森斯 马拉尼 凯旋
554	25923643	爱宕 神通 克利夫兰
555	42731276	爱宕 神通 u47
556	39082361	u47u47u47
557	60063796	莱比锡 克利夫兰
558	41415093	克爹、780
559	42357450	克利夫兰、莱比锡、文森斯
560	42942633	爱宕 神通 U47[s:ac:blink]
561	41083630	爱宕，马拉尼，U47
562	39231647	克利夫兰，埃克塞特，u47
563	34666869	爱宕 克利夫兰 神通
564	60055734	爱宕，莱比锡鱼鱼[s:ac:羡慕]
565	23773433	爱宕，齐柏林，克利夫兰
566	42701159	齐柏林
567	60081143	莱比锡 U47 神通
568	41748495	克利夫兰 埃克塞特
569	42755169	凯旋 克利夫兰 神通
570	42256901	爱宕  神通  克利夫兰
571	34667943	克利夫兰 凯旋 齐柏林伯爵
572	37891961	爱宕，克里夫兰，埃克塞特
573	41600845	莱比锡、神通、克利夫兰
574	41530413	克利夫兰<br/>U47<br/>齐柏林伯爵
575	38726327	克爹 莱比锡 齐柏林
576	60236095	克爹，神通，爱宕
577	33656605	莱比锡 文森斯 克利夫兰
578	43053316	莱比锡 莱比锡 莱比锡！！
579	42787551	爱宕 齐柏林 克利夫兰
580	41570429	爱宕<br/>克爹
581	38116907	克爹，齐柏林，爱宕
582	25594759	克爹 47 莱比锡
583	42977351	克利夫兰，爱宕，齐柏林
584	41617219	齐柏林，爱宕，U47
585	60028430	克爹，齐柏林，爱宕
586	37990670	神通  zsbd
587	42858699	莱比锡 莱比锡 还是莱比锡
588	6188489	克利夫兰 神通 U47<br/>妈耶这是个死亡分组
589	19234794	爱宕 神通
590	41316924	凯旋<br/>神通<br/>莱比锡
591	43313494	神通 莱比锡
592	38163420	爱宕，齐柏林，凯旋
593	60040682	爱大狗，克爹，马拉尼
594	42759044	克爹！！
595	41095907	爱宕<br/>克利夫兰<br/>神通
596	4425493	克利夫兰 u47 齐柏林
597	39071613	齐柏林 u47 凯旋
598	41139784	克利夫兰，神通，莱比锡
599	41188402	爱宕，凯旋，莱比锡
600	42753477	凯旋，克利夫兰，爱宕
601	5252275	齐柏林<br/>爱宕<br/>克利夫兰
602	18518011	齐柏林  莱比锡 神通
603	42941399	u47zsbd
604	552228	爱宕 齐柏林 神通
605	34780547	爱宕，克利夫兰，齐柏林(1.5设立功？)
606	60141897	爱宕<br/>莱比锡<br/>凯旋
607	41694991	爱宕 克利夫兰
608	42678842	爱宕 克利夫兰 莱比锡
609	42342914	爱宕，神通，齐柏林
610	38919972	爹 爱宕 神通
611	39729990	爱宕<br/>莱比锡<br/>神通
613	1520075	克利夫兰<br/>莱比锡
614	43360361	克利夫兰  爱宕 凯旋
615	42962622	齐柏林伯爵<br/>莱比锡<br/>u47
616	35307766	克里夫兰
617	43198900	克利夫兰 神通 u47[s:ac:上]
618	41796691	爱宕 爹 神通
619	3594796	爱宕、齐柏林
620	40765064	凯旋<br/>文森斯<br/>莱比锡
621	60108025	克利夫兰，神通，齐柏林
622	39384510	爱宕 克利夫兰 莱比锡
623	42950255	埃克塞特 克爹 莱比锡
624	14801075	莱比锡 马拉尼
625	15474530	神通 克利夫兰 爱宕
626	42188645	神通<br/>克利夫兰<br/>爱宕
627	40505532	爱宕！
628	2474920	爱宕 凯旋 齐柏林
629	40556625	爱大狗<br/>莱比锡<br/>神通
630	42662033	爹 780 u47[s:ac:blink]
631	34487599	克利夫兰<br/>U47<br/>凯旋
632	25778309	爱宕  莱比锡   齐柏林
633	12027737	780 鱼鱼 马拉尼
634	38649672	爱宕 神通 克利夫兰
635	42697266	克利夫兰zsbd
636	16060787	爱宕 神通
637	40971294	克爹！
638	60005456	马拉尼 爱宕
639	1730722	齐柏林伯爵<br/>克利夫兰<br/>U47
640	1297545	爱宕<br/>克利夫兰<br/>神通
641	38654712	爱宕 神通 U47
642	60021895	莱比锡 克利夫兰 爱宕
643	38900220	神通 爱宕 克利夫兰
644	42554255	沙恩霍斯特<br/>莱比锡<br/>U47
645	43056515	凯旋紫薯布丁
646	42558199	莱比锡<br/>克利夫兰<br/>凯旋
647	512549	克爹赛高
648	39090476	克利夫兰<br/>爱宕<br/>神通
649	39627271	克爹，神通，爱宕
650	42579239	克爹！爱宕！
651	577634	齐柏林伯爵  爱宕 克利夫兰
652	43125546	凯旋，齐柏林伯爵，克利夫兰
